Ticker,Company Name,Sector,Buffett Score,ROIC,Current Price,ROE,Debt to Equity,Years to Pay Off Debt,EPS CAGR (Historical),FCF CAGR (Historical),Latest FCF,Shares Outstanding,Market Cap,Gross Margin,Net Margin,Industry,Edgar Fetched
AIG,"American International Group, I",Financial Services,2,0.06954434795664682,75.13999938964844,0.07525705534893896,0.22341330610855878,2.968669250645995,-0.2521122479821929,-0.07104642460865984,3314000000.0,534866770,40189890560,0.34113997,0.11634,Insurance - Diversified,True
AEP,American Electric Power Company,Utilities,2,0.06808398253155629,134.72999572753906,0.11497205986254737,1.5899543965572611,13.829050279329609,0.14103619318625982,0.0,-1639000000.0,543563480,73234300928,0.47522,0.16364999,Utilities - Regulated Electric,True
ADI,"Analog Devices, Inc.",Technology,2,0.06335402043416209,399.57000732421875,0.06704987068897324,0.256229973277249,3.8214834815391767,-0.04621093762089157,0.04252862506739885,4278650000.0,488204157,195071737856,0.62842,0.23024,Semiconductors,True
ETR,Entergy Corporation,Utilities,2,0.06121082717204368,113.63999938964844,0.10457129688533062,1.8242007524910255,17.4445646829013,0.1380808157293214,0.0,-2790700000.0,457798633,52024233984,0.47717,0.13581,Utilities - Regulated Electric,True
ATO,Atmos Energy Corporation,Utilities,2,0.059047219268408356,185.4499969482422,0.08841092449308166,0.6861554301273924,7.760980151056847,0.10357747663756056,0.0,-1511943000.0,165438946,30680651776,0.57824004,0.25667998,Utilities - Regulated Gas,True
D,"Dominion Energy, Inc.",Utilities,2,0.05849738846906042,62.58000183105469,0.1030842760375477,1.682804387442836,16.324549699799867,0.4203028846057919,0.0,-7280000000.0,878964717,55005614080,0.49019,0.18163,Utilities - Regulated Electric,True
CVX,Chevron Corporation,Energy,2,0.05848280598372673,185.2100067138672,0.06596406543309198,0.21860016090104586,3.313927961622896,-0.28717489047634626,-0.23886352505659136,16592000000.0,1991898801,368919576576,0.41896,0.06661,Oil & Gas Integrated,True
EXR,Extra Space Storage Inc,Real Estate,2,0.05795052229191778,142.08999633789062,0.07250703222159244,1.041582974557152,14.365268342164622,-0.10535332538619724,0.14598827978529405,1829054000.0,211197320,30009024512,0.75028,0.28261998,REIT - Industrial,True
DUK,Duke Energy Corporation (Holdin,Utilities,2,0.057751207665455856,127.2699966430664,0.09582963620230701,1.7528066046834614,18.290861513687602,0.2374520379781513,0.0,-1694000000.0,778216672,99043639296,0.51897,0.15628,Utilities - Regulated Electric,True
KR,Kroger Company (The),Consumer Defensive,2,0.05749542023888034,67.2300033569336,0.1714189303188797,4.1660199088915135,24.30314960629921,-0.2062994740159002,0.3451223737416764,3456000000.0,612575611,42546450432,0.241,0.0068800002,Grocery Stores,True
AJG,Arthur J. Gallagher & Co.,Financial Services,2,0.05690025615997501,215.3800048828125,0.06406243300030016,0.5782342095107413,9.026104417670682,0.0325999815721385,0.13922019016305098,1785000000.0,256888062,55374200832,0.42163,0.11484,Insurance Brokers,True
DHR,Danaher Corporation,Healthcare,2,0.05656993399398805,177.25,0.06879354322914684,0.3749191000114212,5.4499169894853345,-0.19722477453243914,-0.10758859213825567,5260000000.0,707770627,125452345344,0.58992,0.14887999,Diagnostics & Research,True
INVH,Invitation Homes Inc.,Real Estate,2,0.05293742975128271,27.1299991607666,0.06169106576907854,0.8793183557163742,14.253576992944666,0.1803380350230399,0.057149141086135335,963478000.0,599446021,16262970368,0.58247,0.21632999,REIT - Residential,True
FE,FirstEnergy Corp.,Utilities,2,0.052253672592717765,49.40999984741211,0.0815347721822542,2.1227817745803357,26.03529411764706,0.35593323535769317,0.0,-1005000000.0,578398650,28578676736,0.66867995,0.06845,Utilities - Regulated Electric,True
EQIX,"Equinix, Inc.",Real Estate,2,0.051712337056502966,1108.760009765625,0.09536592257699915,1.6053970048036168,16.834074074074074,0.21491522751109304,,-400000000.0,98623487,109349781504,0.51317,0.14579001,REIT - Specialty,True
BDX,"Becton, Dickinson and Company",Healthcare,2,0.050645213562294567,152.13999938964844,0.06608901142181961,0.7554549035053171,11.430870083432659,-0.005653032022866267,0.17180478383393938,2671000000.0,284466650,43278757888,0.46784002,0.08014,Medical Instruments & Supplies,True
ADM,Archer-Daniels-Midland Company,Consumer Defensive,2,0.05024387185284672,69.2300033569336,0.04742005014736286,0.4292438305547002,9.051948051948052,-0.34341388570384734,0.2487342444292353,4204000000.0,481895100,33361600512,0.0627,0.01343,Farm Products,True
KIM,Kimco Realty Corporation (HC),Real Estate,2,0.04414434066788764,23.690000534057617,0.056269267528856304,0.7992794536018467,14.204546970368078,0.7241086201913651,0.09157705031775376,1120015000.0,674403212,15976611840,0.69051003,0.27323,REIT - Retail,True
COO,"The Cooper Companies, Inc.",Healthcare,2,0.04147889632414432,64.41999816894531,0.04550364733156125,0.30408185558751777,6.682582021872499,-0.0073216277678949115,-0.01251536517097196,433700000.0,195114398,12569269248,0.65444,0.09668,Medical Instruments & Supplies,True
GPN,Global Payments Inc.,Industrials,2,0.04096972266836902,67.76000213623047,0.061170049046329146,0.9552885046188814,15.616932134472579,1.4171201324814278,0.0778058677716198,2038823000.0,275243013,18650466304,0.72643,0.18169,Specialty Business Services,True
TECH,Bio-Techne Corp,Healthcare,2,0.03623566326697553,54.189998626708984,0.038252915351614125,0.23142388399464667,6.049836512261581,-0.35264644364947284,-0.029154942872097633,256550000.0,156453292,8477422080,0.66605,0.06672,Biotechnology,True
DOC,"Healthpeak Properties, Inc.",Real Estate,2,0.03171585653372197,16.43000030517578,0.009512814106063205,1.352536914870667,142.18052616087573,-0.5227593913804323,0.11619624366626224,1251959000.0,695256660,11423067136,0.59973997,0.02528,REIT - Healthcare Facilities,True
FANG,"Diamondback Energy, Inc.",Energy,2,0.030580155490176432,194.7899932861328,0.0450070323488045,0.4024396840852537,8.94170673076923,-0.3848028199276532,,-703000000.0,281311730,54796713984,0.7304,0.1164,Oil & Gas E&P,True
HAS,"Hasbro, Inc.",Consumer Cyclical,2,0.015724196058091288,95.08000183105469,-0.5987000928505106,6.119777158774373,inf,,0.5178941301961593,694900000.0,141521544,13455867904,0.63821,-0.06858,Leisure,True
COHR,Coherent Corp.,Technology,2,0.009392181417223675,336.0899963378906,0.006073494898665379,0.4790558301626214,78.87646868163034,,0.2487157179846986,192764000.0,187481852,63010775040,0.36380002,0.04657,Scientific & Technical Instruments,True
COF,Capital One Financial Corporati,Financial Services,2,0.0,191.38999938964844,0.021590268976200536,0.4437139135333052,20.55156950672646,-0.3925575764823631,0.266249971257817,26140000000.0,634195906,121378750464,0.0,0.08876,Credit Services,True
GS,"Goldman Sachs Group, Inc. (The)",Financial Services,2,0.0,926.9099731445312,0.13743878628812853,3.089892135838428,22.48195156031672,0.19529594834176467,,-47218000000.0,294993942,275063242752,0.82271004,0.29363,Capital Markets,True
JPM,JP Morgan Chase & Co.,Financial Services,2,0.0,308.2799987792969,0.1574007140531622,1.379496631147948,8.764233627822184,0.18334033738266675,,-147782000000.0,2679500000,826036256768,0.0,0.33936,Banks - Diversified,True
MTB,M&T Bank Corporation,Financial Services,2,0.0,214.9199981689453,0.09771395277101827,0.4459334407238578,4.563661873027008,0.13842447691670268,-0.13111990543634156,2860000000.0,146917000,31916609536,0.0,0.31482,Banks - Regional,True
CSGP,"CoStar Group, Inc.",Real Estate,2,-0.0021206765968189846,36.439998626708984,0.00083993280537557,0.14206863450923926,169.14285714285714,-0.7219119357371475,-0.5259632828103975,41000000.0,419793301,15444102144,0.78873,0.0021600001,Real Estate Services,True
CAH,"Cardinal Health, Inc.",Healthcare,1,0.8566415341735664,199.85000610351562,0.0,inf,5.46252402306214,0.0,-0.12777943999402153,1850000000.0,235316016,47027908608,0.03695,0.00679,Medical Distribution,True
HPQ,HP Inc.,Technology,1,0.4462584111099577,19.790000915527344,0.0,inf,4.302886516409648,-0.047530829561843846,-0.08855519305487403,2800000000.0,914550199,18166915072,0.20251,0.04462,Computer Hardware,True
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,1,0.2313818558113964,244.4499969482422,0.0,inf,6.714307183648933,0.05184121096662819,0.0421346483675451,7651000000.0,560062893,136907374592,0.33476,0.07712,Home Improvement Retail,True
HON,Honeywell International Inc.,Industrials,1,0.14602954650701974,213.1699981689453,0.3401179516685846,2.5577531645569622,7.520194544301121,0.005145240981910382,0.06346989909521827,5422000000.0,633653119,135075831808,0.36925,0.1089,Conglomerates,True
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,1,0.14564773112127888,201.05999755859375,0.4541167308441137,2.6953229784104185,5.9353086890243905,0.06178734241796824,0.06344643043092901,1026600000.0,114535003,23028406272,0.21507,0.086619996,Restaurants,True
AVY,Avery Dennison Corporation,Consumer Cyclical,1,0.13663723331048794,165.5,0.3068551804112216,1.6649123589491994,5.425726744186046,-0.015156843918529228,0.009222853570837852,681000000.0,76917031,12729768960,0.28754,0.07769,Packaging & Containers,True
AES,The AES Corporation,Utilities,1,0.13446464646464645,14.489999771118164,0.22397243416194929,7.358355894659119,32.853846153846156,0.0,0.0,-1623000000.0,713071623,10332407808,0.18400998,0.07439,Utilities - Diversified,True
CEG,Constellation Energy Corporatio,Utilities,1,0.131768014105737,313.5299987792969,0.15974374870841082,0.6194117241854378,3.877533419577404,0.0,0.0,1288000000.0,362294672,113590239232,0.1838,0.09082,Utilities - Independent Power Producers,True
COIN,"Coinbase Global, Inc.",Financial Services,1,0.11738641349555287,199.77000427246094,0.08519719181794595,0.5294009527982653,6.213831013697239,0.0,0.0,2426383000.0,223041278,52754296832,0.85178,0.1831,Financial Data & Stock Exchanges,True
GIS,"General Mills, Inc.",Consumer Defensive,1,0.11178938917932733,34.970001220703125,0.2494999565179581,1.6628293764675188,6.664647960962007,-0.026085603257610446,-0.05849837601132735,2292900000.0,533681218,18662832128,0.3314,0.12053,Packaged Foods,True
HSY,The Hershey Company,Consumer Defensive,1,0.1107777994540261,191.47999572753906,0.19049096888984743,1.2376287270178465,6.497046732611839,-0.1843803498361749,-0.011035105885078833,1749148000.0,148077438,38811262976,0.33549,0.07554,Confectioners,True
CRH,CRH PLC,Basic Materials,1,0.10705366777488756,118.0,0.15539076820529912,0.8209048491918014,5.2828418230563,0.029992198271017623,0.08544905949233872,2912000000.0,668200316,78847639552,0.36126,0.10022,Building Materials,True
ABBV,AbbVie Inc.,Healthcare,1,0.10314044575139635,198.7100067138672,0.0,inf,15.971604353999053,-0.29242592515762644,-0.09764361948343492,17816000000.0,1768762377,351470780416,0.71620005,0.0691,Drug Manufacturers - General,True
